EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
650926262,KEYS AREA INTERDENOMINATIONAL RESOURCES,% K A I R INC,3010 OVERSEAS HWY,MARATHON,FL,33050-2237,0000,03,3,1000,200006,1,15,000000000,1,01,202112,5,6,01,0,12,546975,1090763,1090763,P20,NA
310241513,69 GREATER CINCINNATI CREDIT UNION INC,NA,7221 MONTGOMERY RD,SILVERTON,OH,45236-3942,1990,14,9,1000,196904,2,00,922921000,5,01,202112,9,7,01,0,12,135087967,5021720,5021720,NA,NA
810398400,TOWNSEND HEALTH SYSTEMS INC BROADWATER COMMUNITY HOSPITAL,% JENNY CLOWES,110 N OAK ST,TOWNSEND,MT,59644-2306,0000,03,3,1000,198110,1,12,150179000,1,01,202106,8,8,01,0,06,11281591,11888926,11888926,NA,NA
461102374,CODY VOLUNTEER FIRE DEPARTMENT INC,% JEFF STEWARD,1125 11TH ST,CODY,WY,82414-3536,0000,04,3,3000,201211,1,00,000000000,1,01,202112,3,4,01,0,12,42215,178363,178363,M24,NA
521753040,KENNEDY KRIEGER EDUCATION AND COMMUNITY SERVICES INC,NA,707 N BROADWAY,BALTIMORE,MD,21205-1832,0000,03,3,1000,199201,1,15,575000000,1,01,202106,8,8,01,0,06,14340565,48121720,48121720,S200,NA
421209027,NEIGHBORHOOD FOOD BANK INCORPORATED,NA,PO BOX 185,FOREST CITY,IA,50436-0185,0000,03,3,1000,198402,1,15,408000000,1,01,202112,4,3,01,0,12,111997,62090,62090,NA,NA
382238749,ADED INC,NA,200 1ST AVE NW STE 505,HICKORY,NC,28601-6113,0000,03,3,2000,197906,1,16,998000000,5,01,202112,5,5,01,0,12,680720,505059,505059,NA,NA
841635505,BOYS & GIRLS CLUB OF KOOTENAI,% FAMILY SUPPORT SERVICES OF N IDAH,PO BOX 3598,POST FALLS,ID,83877-0017,0000,03,3,1000,200503,1,15,000000000,1,01,202112,7,6,01,0,12,6370587,2190051,2149676,O23,NA
361276034,MAHTOMEDI AREA EDUCATIONAL FOUNDATION,NA,1520 MAHTOMEDI AVE,MAHTOMEDI,MN,55115-1907,0000,03,3,1000,199009,1,16,040000000,1,01,202206,6,5,01,0,06,1850040,568289,345544,NA,NA
240800337,TROY COMMUNITY HOSPITAL INCORPORATED,% MICHELE SISTO,275 GUTHRIE DR,TROY,PA,16947-8115,0000,03,3,1000,195403,1,12,150000000,1,01,202106,8,8,01,0,06,47094841,30142902,29875512,E22Z,NA
721142136,MONTESSORI EDUCATIONAL CENTER INC,NA,4209 N BOLTON AVE,ALEXANDRIA,LA,71303-4706,0000,03,3,2100,199009,1,11,046030000,1,01,202206,6,6,01,0,06,1806825,1464711,1440864,B200,NA
382024600,DO-ALL INCORPORATED,NA,1480 W CENTER RD STE 2,ESSEXVILLE,MI,48732-2143,0000,03,3,1000,197603,1,15,566149000,1,01,202109,6,6,01,0,09,1036021,1661683,1507356,J330,NA
237045387,BRACKEN VOLUNTEER FIRE DEPARTMENT,NA,23600 FM 3009,SAN ANTONIO,TX,78266-2643,0000,04,3,3000,197007,1,00,407000000,1,01,202112,4,6,01,0,12,457074,1783710,1783710,NA,NA
526066354,INTERNATIONAL ASSOCIATION OF LIONS CLUBS,% BRIAN BANKERT,PO BOX 71,OCEAN CITY,MD,21843-0071,0239,04,9,3000,196603,2,00,999000000,5,01,202206,4,3,01,0,06,355923,67595,63808,NA,8783 OCEAN CITY
463502696,FLORIDA ASSOCIATION OF FREE AND CHARITABLE CLINICS INC,% FLORIDA FREE AND CHARITABLE CLINI,4615 PHILIPS HIGHWAY,JACKSONVILLE,FL,32207-9506,0000,03,3,1000,201311,1,15,000000000,1,01,202112,4,8,01,0,12,451895,10115345,10115345,E19,NA
262937832,BEYOND EXPECTATIONS ACADEMY INC,% SERGIO CALDERA,13262 SW 119TH TER,MIAMI,FL,33186-4554,0000,03,3,2000,201002,1,11,000000000,1,01,202112,6,6,01,0,12,1470534,1530970,1530970,B24,NA
030436723,SUNEEL RESEARCH FOUNDATION,% NEERA GULATI,275 NORTHPOINTE PKWY STE 50,AMHERST,NY,14228-1895,0000,03,3,1000,200307,1,15,000000000,1,01,202112,4,2,02,0,12,471303,24017,24017,T032,NA
470090400,ALPHA GAMMA RHO FRATERNITY,NA,1420 IDYLWILD DR,LINCOLN,NE,68503-2042,0339,07,9,1000,194103,2,00,319000000,5,01,202106,4,5,01,0,06,162369,808101,808101,NA,KAPPA CHAPTER
720408946,LOYOLA UNIVERSITY,NA,6363 ST CHARLES AVE,NEW ORLEANS,LA,70118-6143,0928,03,9,1200,194603,1,11,150120000,5,01,202107,9,9,01,0,07,562509416,527165647,193330679,B430,NA
752059853,LONE STAR SKIERS INC,NA,PO BOX 820784,DALLAS,TX,75382-0784,0000,07,3,1000,198510,2,00,283288000,1,01,202205,3,3,01,0,05,77875,95759,95759,NA,NA
251264800,FAYETTE COUNTY DRUG & ALCOHOL COMMISSION,NA,100 NEW SALEM RD STE 106,UNIONTOWN,PA,15401-8936,0000,03,3,1200,199306,1,15,573000000,1,01,202106,5,6,01,0,06,713103,3561620,3561620,F22Z,NA
910635107,LONGVIEW YACHT CLUB,NA,PO BOX 1730,LONGVIEW,WA,98632-8062,0000,07,3,1000,193303,2,00,905318319,1,01,202112,5,4,01,0,12,709195,212202,212202,NA,NA
161126179,HERRING COLLEGE MEMORIAL EDUCATIONAL TRUST,% ARTHUR STEVER,436 HARRIS DR,WATERTOWN,NY,13601-4206,0000,03,3,1000,197912,1,17,602000000,2,01,202112,6,6,01,0,12,3477201,1239747,263799,NA,NA
473323816,INFOR XA USER GROUP,% GEORGE R YATES,729 CROSS ROAD,OAKS CORNERS,NY,14518-0000,0000,06,3,2000,201511,2,00,000000000,1,01,202112,3,0,02,0,12,41734,0,0,S41,NA
042457298,ROBERT F KENNEDY CHILDRENS ACTION CORPS,NA,120 OLD COMMON RD,LANCASTER,MA,01523-2203,0000,03,3,1000,197005,1,16,160000000,1,01,202106,7,8,01,0,06,8178483,15422795,14493083,P730,NA
330884435,UNITED SKATES SYNCHRONIZED TEAM ASSOCIATION INC,NA,4444 MAR ESCARPA,SAN CLEMENTE,CA,92673-6426,0000,03,3,1000,200002,1,16,000000000,1,01,202206,3,4,01,0,06,75949,176850,176850,N60,USSTA
382951632,MOTHERS CLUB OF GROSSE POINTE SOUTH HIGH SCHOOL,NA,11 GROSSE POINTE BLVD,GROSSE PT FRM,MI,48236-3711,0000,03,3,1000,199010,1,16,035000000,1,01,202106,4,4,01,0,06,316013,148599,72259,B94Z,NA
815138942,PROJECT I AM INTERNATIONAL,NA,299 BUTTERFLY LN,AMHERST,VA,24521-2587,0000,03,3,1200,201708,1,15,000000000,1,01,202112,1,3,01,0,12,7283,83821,83821,Q33,NA
546049546,WAYNEWOOD RECREATION ASSOCIATION,% LESLIE SCHOEFFEL,1027 DALEBROOK DRIVE,ALEXANDRIA,VA,22308-0000,0000,07,3,1000,196105,2,00,298318349,5,01,202110,6,5,01,0,10,1718497,507440,507440,NA,NA
261355669,RIO GRANDE CHILD DEVELOPMENT CENTER & FAMILY SERVICES,% WALL SMITH BATEMAN & ASSO INC,440 6TH ST,DEL NORTE,CO,81132-3239,0000,03,3,1000,200902,1,15,000000000,1,01,202106,6,6,01,0,06,2951839,1243115,1243115,P30,DEL NORTE HEAD START
465412381,HUSTON FAMILY SOUTH BAY EDUCATION FOUNDATION,% RONALD HALLAGAN TRUSTEE,1207 CHATEAU DR,SAN JOSE,CA,95120-4710,0000,03,3,1000,201504,1,15,000000000,2,01,201912,4,3,02,0,12,231809,26250,26250,T20,NA
912167480,MBA PROJECT INC,NA,465 ELWOOD AVE APT 2,OAKLAND,CA,94610-1949,0000,03,3,1200,200512,1,16,000000000,1,01,202112,3,4,01,0,12,93590,234120,234120,P50,NA
752889215,COVENANT KIDS INC,% BILL LUND,PO BOX 182732,ARLINGTON,TX,76096-2732,0000,03,3,1000,200307,1,16,007000000,1,01,202112,7,8,01,0,12,7459056,25316503,25298802,P31,NA
201656315,YISRAELINK ORGANIZATION INC,% GINSPARG,8170 MCCORMICK BLVD STE 127,SKOKIE,IL,60076-2961,0000,03,3,1000,200602,1,15,000000000,1,01,202112,4,4,01,0,12,109873,260932,260932,P84,NA
160990076,CIVIL SERVICE EMPLOYEES ASSOCIATION,% BRENDA CAMPBELL,3675 COYKENDALL RD,WATKINS GLEN,NY,14891-9568,1002,05,9,3000,197007,2,00,263264279,5,01,202109,5,4,01,0,09,520373,114275,114275,NA,0851 STEUBEN COUNTY
823819611,KAISER FOUNDATION FOR THE ADVANCEMENT OF INTEGRATED HEALTH C,% CHIEF ACCOUNTING OFFICER,ONE KAISER PLAZA 15L,OAKLAND,CA,94612-3610,0000,04,3,3000,202008,2,00,000000000,1,01,202112,8,0,02,0,12,15419543,0,0,E19,NA
262646032,CHILDS PATH INC,% NICCOLE HOWARD,15275 COLLIER BLVD STE 201 # 359,NAPLES,FL,34119-6750,0000,03,3,1000,200809,1,15,000000000,1,01,202106,6,6,01,0,06,1755615,3111125,3096027,P30,NA
453858268,PARTICIPATORY BUDGETING PROJECT INC,% JOSH LERNER,540 PRESIDENT STREET 3RD FLOOR,BROOKLYN,NY,11215-1493,0000,03,3,1000,201206,1,15,000000000,1,01,202112,5,6,01,0,12,951434,1467731,1467731,W02,NA
420703278,YOUNG MENS CHRISTIAN ASSOCIATION OF THE IOWA MISSISSIPPI VALLEY,NA,630 E 4TH ST,DAVENPORT,IA,52801-1713,0000,03,3,1720,194207,1,16,324349029,1,01,202112,9,8,01,0,12,63017263,21920939,13933643,P270,YMCA OF THE IOWA MISSISSIPPI VALLEY
386076879,JOHN BALL ZOO,% JOHN,1300 FULTON ST W,GRAND RAPIDS,MI,49504-6100,0000,03,3,2000,195105,1,16,059000000,1,01,202112,8,8,01,0,12,23779071,26677684,22605410,D115,NA
270407231,ANNA JULIA COOPER EPISCOPAL SCHOOL,% MIKE MARUCA,2124 N 29TH ST,RICHMOND,VA,23223-4539,0000,03,3,2000,200910,1,11,000000000,1,01,202106,8,7,01,0,06,18854064,7144886,7144886,B20,NA
943211344,ALLIANCE FORUM FOUNDATION,% GEORGE HARA,111 PINE ST STE 1410,SAN FRANCISCO,CA,94111-5616,0000,03,3,1000,199506,1,16,995200000,1,01,202112,8,6,01,0,12,14032321,3633925,2081441,Q300,NA
811720299,TRUSTING HIM INC,NA,6789 SOUTH POINT PARKWAY BUILDING 1,JACKSONVILLE,FL,32216-8205,0000,03,3,1000,201605,1,16,000000000,1,01,202112,4,6,01,0,12,197157,1407766,1407766,P40,NA
822429894,ALL NATIONS INTERNATIONAL INC,NA,6800 NOLAND RD,KANSAS CITY,MO,64133-6984,0000,03,3,7000,201804,1,15,000000000,1,01,202112,5,5,01,0,12,511195,840611,840611,X20,NA
463201162,KLCS EDUCATION FOUNDATION,% PATRICIA PRESCOTT MARSHALL,1061 W TEMPLE ST,LOS ANGELES,CA,90012-1513,0000,03,3,1000,201503,1,15,000000000,1,01,202106,6,4,01,0,06,1293438,477523,477523,A11,NA
311045332,METHODIST RETIREMENT HOMES OF KENTUCKY INC,NA,5012 E MANSLICK RD,LOUISVILLE,KY,40219-5165,0000,03,1,1000,198307,1,17,229000000,1,01,202106,6,4,01,0,06,1079157,293478,283941,NA,NA
463619546,CONNECTIONS HOMES INC,NA,337 W PIKE ST,LAWRENCEVILLE,GA,30046-4843,0000,03,3,1000,201409,1,15,000000000,1,01,202112,4,5,01,0,12,331638,681088,681088,NA,PAM PARISH MBR
411674019,SOUTH METRO STORM SWIM CLUB,% CHARLES SMITH,PO BOX 177,LAKEVILLE,MN,55044-0177,0000,07,3,1000,200001,2,00,000000000,1,01,202112,4,5,01,0,12,149951,713644,713644,N67,NA
811705040,CONNECT CLERMONT,% THOMAS NIEHAUS,PO BOX 575,BATAVIA,OH,45103-0575,0000,03,3,1000,201703,1,15,000000000,1,01,202112,5,2,02,0,12,661347,11095,11095,S20,NA
233002827,LONGWOOD FIREMENS RELIEF ASSOCIATION,NA,1001 E BALTIMORE PIKE,KENNETT SQ,PA,19348-2301,0000,03,3,6000,199910,1,15,000000000,1,01,202112,4,4,01,0,12,308919,127294,127294,M11,NA
112725678,ISLIP TERRACE VOLUNTEER EXEMPT FIREMENS BENEVOLENT ASSOCIATION IN,% JOE THURMAN,264 BEAVERDAM RD,ISLIP TERRACE,NY,11752-1506,0000,04,3,1000,201402,1,00,000000000,1,01,202112,6,4,01,0,12,1094530,191989,151204,Y43,NA
916056410,GREATER ISSAQUAH CHAMBER OF COMMERCE,NA,155 NW GILMAN BLVD,ISSAQUAH,WA,98027-2408,0000,06,3,3000,195004,2,00,200000000,5,01,202103,4,4,01,0,03,408603,418021,417076,NA,NA
110613408,CREEK INC,NA,1 HORSE HOLLOW RD,LOCUST VALLEY,NY,11560-1133,0000,07,3,1000,194210,2,00,916280318,1,01,202203,7,8,01,0,03,5369299,15558098,13749282,NA,NA
221989868,COLUMBIAN FOUNDATION,% PETER M ALBANO,262 MAIN ST APT 207,LITTLE FALLS,NJ,07424-1355,0000,03,3,1000,195102,1,09,064927602,1,01,202112,6,4,01,0,12,1518364,292175,51367,T22Z,NA
141938760,DIVERSE JOURNEYS INC,NA,11209 NATIONAL BLVD 247,LOS ANGELES,CA,90064-3902,0000,03,3,1000,200602,1,15,000000000,1,01,202106,6,7,01,0,06,1812629,5512099,5512099,P20,NA
461729695,KIDS IN NATURE,% KIDS IN NATURE,2806 GRESHAM LAKE ROAD SUITE 300,RALEIGH,NC,27615-4217,0000,03,3,1200,201408,1,15,000000000,1,01,202112,4,3,02,0,12,124686,49882,40686,C32,NA
411654031,RAMSEY FIREFIGHTERS RELIEF ASSOCIATION,% DIANA LUND FINANCE DIRECTOR,7550 SUNWOOD DR NW,RAMSEY,MN,55303-5137,0000,04,3,1000,200509,2,00,000000000,1,01,202112,6,4,01,0,12,4975171,346166,346166,M03,NA
463315909,JPC CHARITIES,% LISA BACHMAN,10 HILL STREET NO 1E,NEWARK,NJ,07102-5601,0000,03,3,1200,201311,1,15,000000000,1,01,202012,9,8,01,0,12,115394708,14655632,14655632,O50,NA
411377263,LUTHERAN BRETHREN HOMES INC,NA,824 S SHERIDAN ST,FERGUS FALLS,MN,56537-3022,8016,03,9,7000,197404,1,10,066000000,5,01,202104,8,6,01,0,04,10888366,3649112,3489440,P75Z,NA
940835955,AMERICAN FEDERATION OF LABOR & CONGRESS OF INDUSTRIAL ORGS,% KIM TAVAGLIONE,1188 FRANKLIN ST STE 203,SAN FRANCISCO,CA,94109-6852,1338,05,9,1000,195605,2,00,036000000,5,01,202112,6,6,01,0,12,1101412,2041859,2041859,NA,SAN FRANCISCO LABOR COUNCIL
300510008,FAMILY ENRICHMENT CENTER OF DAVENPORT,% KEVIN A KELLUMS,300 W 59TH ST,DAVENPORT,IA,52806-1238,0000,03,3,2100,200904,1,15,000000000,1,01,202112,4,3,02,0,12,458975,30213,30213,P33,NA
410666807,TWIN CITY HOISTING & PORTABLE ENGINEERS ASSOCIATION INC,NA,2829 ANTHONY LN S,MINNEAPOLIS,MN,55418-3269,0000,05,3,3000,195008,2,00,263279000,5,01,202106,7,4,01,0,06,6827359,377704,377704,NA,NA
521593085,NATIONAL ASSOCIATION FOR THE SUPPORT OF LONG-TERM CARE,NA,1444 I ST NW STE 301,WASHINGTON,DC,20005-2206,0000,06,3,1000,198912,2,00,200205000,1,01,202112,6,6,01,0,12,2228144,1229052,1229052,NA,NA
870709360,LIGHTHOUSE FELLOWSHIP,% RICHARD A BARR SR,116 TRINITY LN,ALTOONA,PA,16601-7237,0000,03,3,1000,201102,1,15,000000000,1,01,202206,4,3,02,0,06,138176,43579,34943,X192,NA
911739449,DELTA FRATERNITY,% JON ANDERSON,423 MONROE ST,PORT TOWNSEND,WA,98368-5600,0000,07,3,1000,200308,2,00,000000000,1,01,202206,6,4,01,0,06,1175161,107053,21798,N50,NA
814503438,EHEALTH AFRICA,% BRENDAN WILSON,1200 G ST NW STE 800,WASHINGTON,DC,20005-6705,0000,03,3,1000,201708,1,15,000000000,1,01,202112,7,8,01,0,12,6476528,16972699,16565082,E60,NA
953909132,CALABASAS HIGH SCHOOL COYOTE BOOSTER CLUB,% COYOTE CLUB RYAN BERGSTROM,22855 MULHOLLAND HWY,CALABASAS,CA,91302-2047,0000,03,3,1000,198602,1,16,320000000,5,01,202206,3,5,01,0,06,62192,505018,505018,NA,NA
412047342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
202824574,CENTER FOR ATTACHMENT & TRAUMA SERVICES INC,NA,9312 OLD KEENE MILL ROAD 100,BURKE,VA,22015-4283,0000,03,3,1000,200508,1,15,000000000,1,01,202112,3,5,01,0,12,70771,586720,586717,P40,NA
237410662,SALTLICK TOWNSHIP VOLUNTEER FIRE DEPARTMENT,NA,PO BOX A,INDIAN HEAD,PA,15446-0158,0000,04,3,3000,197506,1,00,407000000,1,01,202112,6,4,01,0,12,1826633,286800,214151,NA,NA
621808817,HEALTH SERVICES MANAGEMENT INC,% PRESTON SWEENEY,206 FORTRESS BLVD,MURFREESBORO,TN,37128-5269,0000,03,3,1200,200005,1,16,000000000,1,01,202112,9,9,01,0,12,127545587,126872629,124554790,E91,NA
943468601,ROGUE VALLEY MENTORING,NA,2931 S PACIFIC HWY,MEDFORD,OR,97501-8764,0000,03,3,2000,200905,1,15,000000000,1,01,202012,4,5,01,0,12,421874,798127,798127,O50,NON PROFIT
341046111,WADSWORTH FISH ORGANIZATION,NA,PO BOX 754,WADSWORTH,OH,44282-0754,0000,03,3,1700,197011,1,15,902927000,1,01,202112,4,4,01,0,12,445202,118688,118688,P60Z,NA
113212678,KOREAN-AMERICAN NAIL SALON ASSOCIATION OF NEW YORK INC,NA,16307 DEPOT RD STE 202,FLUSHING,NY,11358-2055,0000,06,3,1000,199509,2,00,200000000,1,01,202112,3,3,01,0,12,30727,54866,54866,NA,NA
341708901,LIFECARE FAMILY HEALTH AND DENTAL CENTER INC,NA,2725 LINCOLN ST E,CANTON,OH,44707-2769,0000,03,3,1000,199307,1,12,154000000,1,01,202112,7,8,01,0,12,7333836,13357963,13254219,NA,NA
650876629,HOLLYWOOD EDUCATIONAL AND LITERACY PROJECT MIAMI INC,NA,13828 SW 56TH ST,MIAMI,FL,33175-6061,0000,03,3,2300,200105,1,15,000000000,1,01,202112,4,5,01,0,12,305033,696098,696098,B92,NA
510142318,FRIENDS OF THE PALM SPRINGS LIBRARY INC,NA,300 S SUNRISE WAY,PALM SPRINGS,CA,92262-7639,0000,03,3,2000,197506,1,16,061000000,1,01,202112,6,3,01,0,12,1189943,93465,90738,B71I,NA
237338819,SAVANNAH WATERFRONT ASSOCIATION LTD,NA,PO BOX 2173,SAVANNAH,GA,31402-2173,0000,03,3,1000,199409,1,16,995404429,1,01,202112,3,3,01,0,12,36375,84392,84392,S200,NA
351794997,NAVY CLUB OF LAFAYETTE INDIANA SHIP 12 INC,NA,1905 ELMWOOD AVE,LAFAYETTE,IN,47904-2223,0000,19,3,1000,199306,1,00,907000000,1,01,202112,5,5,01,0,12,797800,747291,155043,NA,NA
251122415,NATIONAL ASSOCIATION OF LETTER CARRIERS,% M R VIGGIANO,841 CALIFORNIA AVE,PITTSBURGH,PA,15212-3808,0685,05,9,3000,194409,2,00,263000000,5,01,202112,6,5,01,0,12,1051373,882646,882646,NA,84 PITTSBURGH PENNSYLVANIA
931151279,EUGENE MASONIC CEMETERY ASSOCIATION INC,NA,PO BOX 5934,EUGENE,OR,97405-0911,0000,03,3,1000,199410,1,15,994900000,1,01,202112,6,4,01,0,12,1035596,410188,410188,Y500,NA
570548201,DRAYTONVILLE WATER WORKS INC,NA,1391 WILKINSVILLE HWY,GAFFNEY,SC,29340-6742,0000,12,3,1000,199607,2,00,250000000,1,01,202112,6,5,01,0,12,1981240,768389,768389,NA,NA
237296309,INSTITUTE OF INTERNATIONAL BANKERS,NA,299 PARK AVENUE 17TH FLOOR,NEW YORK,NY,10171-0002,0000,06,3,1000,197306,2,00,200000000,5,01,202103,7,7,01,0,03,5457276,5286213,5286213,NA,NA
470869127,CAREER SERVICES INC,% ANDREA MCCLINTIC,1501 PLUM CREEK PKWY STE 2B,LEXINGTON,NE,68850-2610,0000,03,3,2100,200302,1,15,000000000,1,01,202012,4,4,01,0,12,112080,233179,233179,J22,NA
581567890,MECKLENBURG HUD GROUP HOME NO 1 INC,NA,4530 PARK RD STE 300,CHARLOTTE,NC,28209-3790,0000,03,3,1000,198407,1,04,031000000,1,01,202106,6,4,01,0,06,1087710,461495,461495,L21Z,NA
541067694,LEWINSVILLE RETIREMENT RESIDENCE,NA,1515 GREAT FALLS STREET,MCLEAN,VA,22101-5639,0000,03,3,2000,197809,1,15,153382575,1,01,202109,8,7,01,0,09,26993459,5057266,4276526,L210,NA
311558826,4000 VALLEY SQUARE INC DBA WOODSIDE VILL WHEATLAND TERR,% GROVER C SAYRE III,2900 14TH AVE S,GRAND FORKS,ND,58201-4042,0000,03,3,1000,199710,1,16,995153000,1,01,202206,8,8,01,0,06,30848608,21519698,21519698,L22Z,COUNTRY ESTATES
261131538,CYBERSPACE INNOVATION CENTER INCOPORATED,% CRAIG SPOHN,6300 EAST TEXAS STREET SUITE 100,BOSSIER CITY,LA,71111-6924,0000,03,3,1000,200803,1,15,000000000,1,01,202112,8,8,01,0,12,14331496,17560867,17560867,E12,NA
821262148,DETROIT PHOENIX CENTER,NA,1420 WASHINGTON BLVD,DETROIT,MI,48226-1718,0000,03,3,1200,202008,1,16,000000000,1,01,202206,5,5,01,0,06,528790,771455,771455,P30,NA
237056154,HAWAII ASSOCIATION OF REALTORS,NA,1259 AALA ST STE 300,HONOLULU,HI,96817-3962,0000,06,3,4000,197605,2,00,201480000,1,01,202112,6,6,01,0,12,4820562,2749369,2645393,NA,NA
832714128,DUCKHORN OUTDOORS ADVENTURES,% ROBERT FRY,606 N WINNEBAGO DR,GREENWOOD,MO,64034-9419,0000,03,3,1280,201902,1,15,000000000,1,01,202112,3,4,01,0,12,48188,245974,242543,O50,NA
812762767,WOMENS CONFERENCE OF FLORIDA INC,% ARLENE DIBENIGNO,730 S STERLING AVE STE 106,TAMPA,FL,33609-4542,0000,03,3,2000,201711,1,15,000000000,1,01,202112,3,4,01,0,12,45974,104142,104142,S81,NA
050631726,A COMPANY OF GIRLS,% ODELLE BOWMAN,PO BOX 7527,PORTLAND,ME,04112-7527,0000,03,3,1000,200605,1,15,000000000,1,01,202106,4,4,01,0,06,103182,172664,172664,A65,NA
364305660,PROJECT EXPLORATION,% NATASHA SMITH-WALKER,4511 S EVANS AVE,CHICAGO,IL,60653-3520,0000,03,3,1000,199909,1,15,000000000,1,01,202108,4,6,01,0,08,496596,1457126,1457126,A56,NA
370154939,ANCIENT FREE & ACCEPTED MASONS OF ILLINOIS,% BARRY D WEER SECRETARY,PO BOX 44,BLOOMINGTON,IL,61702-0044,0038,10,9,1000,194007,1,00,059922036,5,01,202112,6,4,01,0,12,1295160,187476,147169,NA,43 BLOOMINGTON LODGE
223628622,SUSSEX-WARREN AQUATIC CLUB INC,% EDWARD H DELLERT,520 UPPER HIGHLAND LKS DR,HIGHLAND LKS,NJ,07422-1617,0000,03,3,1200,199906,1,15,000000000,1,01,202112,0,0,02,0,12,0,0,0,N60,NA
640748891,FORREST & LENA JOHNSON MEMORIAL FOUNDATION,% DR HINMAN,CO DR HINMAN 3215 MARKET STREET,PASCAGOULA,MS,39567-0000,0000,03,3,1000,198805,1,17,029040568,1,01,202106,6,4,01,0,06,1016215,223885,129445,X12,NA
416056119,MUSKIES INC,NA,PO BOX 1509,WAUKESHA,WI,53187-1509,0000,03,3,1000,201407,1,16,000000000,1,01,202112,4,4,01,0,12,368237,262121,262121,NA,NA
462084372,KUAKINI HIGHWAY 75-6099 CORP,% TDA INVESTMENT GROUP INC,2025 PIONEER CT,SAN MATEO,CA,94403-1719,0000,02,3,1000,201409,2,00,000000000,1,01,202112,6,1,02,0,12,3157844,1,1,S47,NA
340347260,LAKE CARRIERS ASSOCIATION,NA,25651 DETROIT ROAD,WESTLAKE,OH,44145-2415,0000,06,3,2000,192205,2,00,200279000,1,01,202112,5,6,01,0,12,547028,1703504,1703504,NA,NA
